company,title,location,url,sponsors_h1b,years_experience,posted_at,updated_at,date_kind,status,first_seen,status_updated,note
GitLab,Business Development Representative ,"Remote, EMEA; Remote, Germany; Remote, Ireland; Remote, Netherlands; Remote, United Kingdom",https://job-boards.greenhouse.io/gitlab/jobs/8532274002,,,,2026-08-10T16:52:46-04:00,updated,new,2026-08-10,,
GitLab,Commercial Account Executive - Greece/Malta ,"Remote, France; Remote, Germany; Remote, Ireland; Remote, Italy; Remote, Spain; Remote, United Kingdom",https://job-boards.greenhouse.io/gitlab/jobs/8528922002,,,,2026-08-10T16:52:46-04:00,updated,new,2026-08-10,,
Stripe,"Account Executive, Platforms Hunter (French fluency)","Paris, France",https://stripe.com/jobs/search?gh_jid=7857010,,8,,2026-08-06T12:10:02-04:00,updated,new,2026-08-10,,
Zscaler,"Specialist Account Executive, ZT Branch","Ville de Paris, FRA",https://job-boards.greenhouse.io/zscaler/jobs/5124275007,,,2026-05-05T11:34:41-04:00,2026-08-19T17:21:57-04:00,updated,new,2026-08-10,,
Samsara,Mid-Market Account Executive - France,Remote - France,https://www.samsara.com/company/careers/roles/7571463?gh_jid=7571463,,,2026-01-29T06:18:51-05:00,2026-08-20T14:53:44-04:00,updated,new,2026-08-10,,
Snowflake,Account Executive Energy & Utilities,FR-Paris,https://jobs.ashbyhq.com/snowflake/7f726564-1ee7-4100-a95b-a00f780be810,,5,,2026-06-12T12:32:14.532+00:00,published,new,2026-08-10,,
ElevenLabs,Account Executive - ElevenCreative - France,France,https://jobs.ashbyhq.com/elevenlabs/7ce7ff0a-564c-488a-aee1-db227b6a50ca,,5,,2026-07-10T16:32:58.256+00:00,published,new,2026-08-10,,
Deepgram,EMEA Account Executive,EMEA | Remote,https://jobs.ashbyhq.com/deepgram/98150e77-5458-4382-9575-ac3a3ab1e205,,,,2026-03-10T17:58:08.933+00:00,published,new,2026-08-10,,
Deepgram,"German Speaking- Sales Development Representative, EMEA",EMEA | Remote,https://jobs.ashbyhq.com/deepgram/f924e637-6bfa-46fc-a05a-b4bcdb176f78,,,,2026-07-27T21:25:13.138+00:00,published,new,2026-08-10,,
Photoroom,Account Executive,Paris,https://jobs.ashbyhq.com/photoroom/e438dc95-2f8a-4db4-a00e-bb6d16dabd48,,,,2026-07-07T09:47:18.969+00:00,published,new,2026-08-10,,
Google,"Field Sales Representative, Retail","Paris, France",https://www.google.com/about/careers/applications/jobs/results/128481509857206982,,10,2026-08-26T11:09:52+00:00,2026-08-26T11:09:52+00:00,published,new,2026-08-28,,
Salesforce,Cloud Account Executive,France - Paris,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/France---Paris/Cloud-Account-Executive_JR356071-1,,,2026-08-27T00:00:00+00:00,2026-08-27T00:00:00+00:00,published,new,2026-08-28,,
Salesforce,Entreprise Account Executive - Sales Performance Management (SPM),France - Paris,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/France---Paris/Commercial-Account-Executive---Sales-Performance-Management--SPM-_JR354496-1,,,2026-08-25T00:00:00+00:00,2026-08-25T00:00:00+00:00,published,new,2026-08-28,,
Salesforce,Cloud Account Executive - Data & Analytics,France - Paris,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/France---Paris/Cloud-Account-Executive---Data---Analytics_JR357375,,,2026-08-25T00:00:00+00:00,2026-08-25T00:00:00+00:00,published,new,2026-08-28,,
Salesforce,Account Executive (General Business) - East of France,France - Remote,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/France---Remote/Account-Executive--General-Business----East-of-France_JR353108,,,2026-07-22T00:00:00+00:00,2026-07-22T00:00:00+00:00,published,new,2026-08-28,,
HPE,Account Executive - Responsable de Comptes Stratégiques H/F,"Puteaux, Hauts-de-Seine, France",https://hpe.wd5.myworkdayjobs.com/Jobsathpe/job/Puteaux-Hauts-de-Seine-France/Account-Executive---Responsable-de-Comptes-Stratgiques-H-F_1204981-2,,,2026-08-10T00:00:00+00:00,2026-08-10T00:00:00+00:00,published,new,2026-08-28,,
Supabase, Account Executive (EMEA),"Remote, EMEA",https://jobs.ashbyhq.com/supabase/a069c886-1107-408e-88b4-e1aa8d33d4bc,,2,2026-08-26T19:59:56.317000+00:00,2026-08-26T19:59:56.317000+00:00,published,new,2026-08-28,,
