company,title,location,url,sponsors_h1b,years_experience,updated_at,date_kind,status,first_seen,status_updated,note
GitLab,Commercial Account Executive - Greece/Malta ,"Remote, France; Remote, Germany; Remote, Ireland; Remote, Italy; Remote, Spain; Remote, United Kingdom",https://job-boards.greenhouse.io/gitlab/jobs/8528922002,,,2026-08-03T16:43:10-04:00,updated,new,2026-08-09,,
Asana,SMB Account Executive - French speaking,Dublin,https://www.asana.com/jobs/apply/8068481?gh_jid=8068481,,1,2026-08-05T19:02:55-04:00,updated,new,2026-08-09,,
Stripe,"Account Executive, Platforms Hunter (French fluency)","Paris, France",https://stripe.com/jobs/search?gh_jid=7857010,,8,2026-08-06T12:10:02-04:00,updated,new,2026-08-09,,
Elastic,Inside Account Executive (French speaking),"Barcelona, Spain",https://jobs.elastic.co/jobs?gh_jid=8067200&gh_jid=8067200,,3,2026-07-30T04:30:12-04:00,updated,new,2026-08-09,,
Zscaler,"Specialist Account Executive, ZT Branch","Ville de Paris, FRA",https://job-boards.greenhouse.io/zscaler/jobs/5124275007,,,2026-08-07T07:23:52-04:00,updated,new,2026-08-09,,
Samsara,Mid-Market Account Executive - France,Remote - France,https://www.samsara.com/company/careers/roles/7571463?gh_jid=7571463,,,2026-08-04T16:38:20-04:00,updated,new,2026-08-09,,
Samsara,Mid-Market Account Executive -  French Fluent,Remote - Montreal,https://www.samsara.com/company/careers/roles/7926750?gh_jid=7926750,,2,2026-08-04T16:38:20-04:00,updated,new,2026-08-09,,
Snowflake,Account Executive,BE-Belgium-Remote,https://jobs.ashbyhq.com/snowflake/1d1bf5f2-f764-4a01-ada2-cfa853e30db0,,7,2026-03-17T15:30:47.227+00:00,published,new,2026-08-09,,
Snowflake,Account Executive Energy & Utilities,FR-Paris,https://jobs.ashbyhq.com/snowflake/7f726564-1ee7-4100-a95b-a00f780be810,,5,2026-06-12T12:32:14.532+00:00,published,new,2026-08-09,,
Snowflake,"Expansion Account Executive - Life Sciences, Belgium",BE-Belgium-Remote,https://jobs.ashbyhq.com/snowflake/a4a787f7-75f3-43d9-b46b-3441817abacb,,7,2026-07-28T15:05:32.927+00:00,published,new,2026-08-09,,
ClickHouse,Commercial Account Executive - Canada,Toronto or Montreal,https://job-boards.greenhouse.io/clickhouse/jobs/6111021004,,,2026-07-07T16:31:40-04:00,updated,new,2026-08-09,,
ElevenLabs,Account Executive - ElevenCreative - France,France,https://jobs.ashbyhq.com/elevenlabs/7ce7ff0a-564c-488a-aee1-db227b6a50ca,,5,2026-07-10T16:32:58.256+00:00,published,new,2026-08-09,,
LangChain,Sales Development Representative (French Speaker),London,https://jobs.ashbyhq.com/langchain/6e7e9517-a590-48a2-958a-6593ba851510,,2,2026-07-15T11:52:33.963+00:00,published,new,2026-08-09,,
LangChain,Commercial Account Executive (French Speaker),London,https://jobs.ashbyhq.com/langchain/97ac0410-c6db-4c2a-9492-b68f62fcbbe3,,3,2026-07-28T17:44:07.737+00:00,published,new,2026-08-09,,
Photoroom,Account Executive,Paris,https://jobs.ashbyhq.com/photoroom/e438dc95-2f8a-4db4-a00e-bb6d16dabd48,,,2026-07-07T09:47:18.969+00:00,published,new,2026-08-09,,
