tier,company,title,location,sponsors_h1b,years_experience,updated_at,date_kind,status,note,url
A,Samsara,Mid-Market Account Executive -  French Fluent,Remote - Montreal,,2,2026-08-15T13:45:00-04:00,updated,new,,https://www.samsara.com/company/careers/roles/7926750?gh_jid=7926750
A,Udemy,Commercial Account Executive (French Speaking),"Dublin, Ireland",,2,2026-08-11T06:04:54-04:00,updated,new,,https://app.careerpuck.com/job-board/udemy/job/6140781004?gh_jid=6140781004
A,Toast,Customer Growth Sales Account Executive,"Geneva, IL",,2,2026-08-10T14:54:57-04:00,updated,new,,https://careers.toasttab.com/jobs?gh_jid=8120072
A,Asana,SMB Account Executive - French speaking,Dublin,,1,2026-08-05T19:02:55-04:00,updated,new,,https://www.asana.com/jobs/apply/8068481?gh_jid=8068481
A,LangChain,Sales Development Representative (French Speaker),London,,2,2026-07-15T11:52:33.963+00:00,published,new,,https://jobs.ashbyhq.com/langchain/6e7e9517-a590-48a2-958a-6593ba851510
B,Elastic,Sales Development Representative (French speaking) ,"Barcelona, Spain",,,2026-08-17T06:26:34-04:00,updated,new,,https://jobs.elastic.co/jobs?gh_jid=8067052&gh_jid=8067052
B,Samsara,Mid-Market Account Executive - France,Remote - France,,,2026-08-15T13:30:01-04:00,updated,new,,https://www.samsara.com/company/careers/roles/7571463?gh_jid=7571463
B,GitLab,Commercial Account Executive - Greece/Malta ,"Remote, France; Remote, Germany; Remote, Ireland; Remote, Italy; Remote, Spain; Remote, United Kingdom",,,2026-08-10T16:52:46-04:00,updated,new,,https://job-boards.greenhouse.io/gitlab/jobs/8528922002
B,Zscaler,"Specialist Account Executive, ZT Branch","Ville de Paris, FRA",,,2026-08-07T07:23:52-04:00,updated,new,,https://job-boards.greenhouse.io/zscaler/jobs/5124275007
B,ClickHouse,Commercial Account Executive - Canada,Toronto or Montreal,,,2026-07-07T16:31:40-04:00,updated,new,,https://job-boards.greenhouse.io/clickhouse/jobs/6111021004
B,Photoroom,Account Executive,Paris,,,2026-07-07T09:47:18.969+00:00,published,new,,https://jobs.ashbyhq.com/photoroom/e438dc95-2f8a-4db4-a00e-bb6d16dabd48
